,0
0,1561562917.1332197
1,1478927772.8162932
2,1451598456.7428627
3,1510362171.8226538
4,1601877133.8272412
5,1572019044.3910923
6,1635945191.0101771
7,1553330594.0139437
8,1556309438.0275815
9,1567492114.9538617
10,2281355700.931923
11,150974067737.28067
12,251879063501.33618
13,192438195417.78198
14,139554923294.82065
15,109286844670.94034
16,84631379100.28142
17,98076568877.04518
18,119249239575.33334
19,137051835224.1176
20,161983308741.08792
21,197949565731.91394
22,178729226731.1304
23,189781493497.50742
24,203046591175.1675
25,211343128714.30386
26,230668911385.38214
27,219959583251.84967
28,214254426182.51654
29,245219974668.80768
30,228842313779.2078
31,210530191862.0406
32,221354760588.352
33,232222565446.50757
34,256513586511.69403
35,254575800104.46548
36,271056050455.8478
37,264376856252.09235
38,222678793114.3857
39,259566470710.04947
40,251795956410.65482
41,235159026997.36722
42,242221952773.54276
43,254427564185.79666
44,258511987847.29306
45,256848724676.42065
46,279540483351.317
47,271158270794.34665
48,250817451317.0054
49,259386836973.2689
50,263283753397.64255
51,280244993271.81683
52,280228058837.50885
53,268634151899.98035
54,274905883090.7099
55,258801572798.48654
56,275353773623.3908
57,277565797765.75543
58,267234993414.34747
59,263749939781.20456
60,307420232679.2674
61,308924169466.76855
62,261439726907.72232
63,252518279998.14853
64,244478663957.82205
65,272889919341.77814
66,249583007666.33173
67,298297191509.4466
68,302738635689.23975
69,321943829846.0791
70,281699880508.73505
71,293942888065.3867
72,338459403505.76135
73,318072833435.01465
74,346728489443.1328
75,325358092545.9235
76,292665498497.8473
77,331476680302.73425
78,354730951441.35974
79,349039945651.3012
80,379937183370.60297
81,331876365779.348
82,349728702144.0884
83,349862686637.6017
84,368365901485.0772
85,363854602286.76215
86,341302333324.1493
87,381971537290.21466
88,382609913087.1635
89,374327219448.09296
90,406693204350.24335
91,388864704913.6214
92,405231367926.01685
93,415888018354.46875
94,399583531939.74457
95,370474190955.6968
96,321767217820.5
97,347535933756.0014
98,344758697302.9758
99,363824967400.1504
100,378353197610.99744
101,399810640613.2077
102,392000095237.9476
103,393414567912.8441
104,335971409628.6933
105,403712675905.5496
106,410714339833.853
107,356936010886.22687
108,422748894136.48004
109,390471519848.0114
110,378741929172.56934
111,460772656298.21185
112,442691241532.50696
113,426565723585.38306
114,453715802197.7352
115,397861379197.7493
116,433935743149.9193
117,393224692833.337
118,394019537386.4359
119,417236456922.3534
120,389674079555.7355
121,417864355399.3282
122,406808056275.304
123,407327826055.468
124,439013333198.11884
125,429289138766.1284
126,423751750419.95776
127,427237840739.07965
128,442189402459.1135
129,430201015799.7384
130,410364692707.94006
131,384779349077.33624
132,408605901371.70734
133,413169531162.81116
134,399849300752.73236
135,381459786954.80865
136,395132214497.5764
137,408742321270.9994
138,467944387054.7778
139,395240783148.3573
140,421650234198.05237
141,387889172657.43677
142,569048117968.335
143,552669325227.4458
144,384391663825.35034
145,294325801481.6716
146,356499428816.369
147,298738803832.5788
148,360725773154.926
149,394070207222.9491
150,452845866848.6675
151,505648127153.10223
152,341807884113.0822
153,312264062583.45026
154,363082312667.7864
155,378446690784.0397
156,350966918594.43896
157,353304783525.49585
158,405971418402.2158
159,402686039310.33856
160,391725726936.8208
161,411608099384.0606
162,292644521264.7217
163,383107806705.3801
164,407716386014.0199
165,458928166904.46265
166,593803065200.8617
167,333278796271.8466
168,370024080232.77124
169,431035843493.48016
170,413037794121.1997
171,282973712496.55426
172,382641104260.4277
173,410983652781.0145
174,350347945243.9012
175,377398638948.6136
176,371140563181.7451
177,374063394009.41046
178,363637567872.3956
179,407971557504.1629
180,356712637325.91486
181,401266023508.19055
182,311216132668.8196
183,320557434987.43243
184,303021041484.1984
185,379834558737.5782
186,348017190834.9296
187,316575728495.2389
188,419306114275.3234
189,400813420922.79785
190,320720949972.42114
191,382464128106.5958
192,277763759383.47174
193,281242255000.16925
194,375504052025.07513
195,413915994942.67395
196,297561558677.0737
197,349274472750.04144
198,348682516699.312
199,383153266107.8354
200,395111681646.4159
