,0
0,1214491269.4390912
1,1283556699.4911582
2,1269410976.384875
3,1255905931.6228993
4,1292712090.260105
5,1336673532.5635471
6,1280997391.3558533
7,1310939234.5695686
8,1332576167.3088336
9,1326744305.9286544
10,26270999682.879826
11,152249221024.6496
12,79298128627.15439
13,25587719932.643307
14,20781358079.55971
15,18305373740.035976
16,23799905662.13585
17,22555130258.03091
18,24323847066.749195
19,25210402030.12873
20,19210447745.873123
21,22528597161.452133
22,19776815752.037193
23,23111552822.97027
24,27062335415.153904
25,30862828706.51186
26,40340438516.74487
27,30836815314.339687
28,26074581184.245983
29,31843917302.20756
30,41233716320.41888
31,57183373506.0307
32,68404997135.75314
33,82781282426.26617
34,90620918037.8691
35,108553433529.31198
36,114403296014.91565
37,116647096009.42163
38,128064684961.52524
39,131162388418.44102
40,134714133833.26317
41,127992782151.57706
42,126174879702.65335
43,156961299713.4966
44,159699575222.96323
45,147108363071.7285
46,151649841430.03137
47,156410879526.34805
48,150619485993.32144
49,150665586919.81403
50,169402880785.5376
51,173156800907.28336
52,150975214630.0646
53,132168817031.76971
54,151203049161.46054
55,163413216746.22974
56,183010749701.5204
57,190847964207.57812
58,182196241477.99628
59,170074481669.49103
60,177959845927.1301
61,164384460688.68137
62,171892707106.99704
63,158038273274.79492
64,177197699950.9572
65,166615083030.3484
66,170098676365.9046
67,195700329768.08633
68,189664952318.4889
69,173233519763.32907
70,154575217951.50787
71,170020600561.97183
72,156533726417.49594
73,159297520565.65115
74,161493060154.53345
75,176706630217.76047
76,179542073014.86148
77,206281420964.81067
78,165727875453.9146
79,190584758319.08725
80,198838360368.27405
81,181345788370.99728
82,173980809209.66074
83,187654089410.98935
84,202539618026.21054
85,188285741164.04663
86,221837300318.51706
87,195456081569.40704
88,187571918776.26248
89,196293881998.63083
90,203396800138.66666
91,191062896163.76523
92,180698093748.57217
93,197258788102.32858
94,210910676412.43585
95,178672455003.19144
96,197274428834.17496
97,218433910936.4554
98,192367094575.3956
99,195951780535.1169
100,216927575884.76816
101,208889519818.0185
102,202135856503.7787
103,205929561921.87097
104,256367271614.616
105,223568822500.72885
106,234187868013.66748
107,230733198959.50742
108,231453595558.98196
109,219611686293.56915
110,236248842367.1673
111,212689386745.9545
112,220385597829.29166
113,240605883700.81436
114,244803578634.4602
115,228762502023.77692
116,236770161690.6173
117,246833003119.32492
118,289996917378.2216
119,248909990917.70596
120,231139664248.21872
121,236646395982.76917
122,248133776821.31467
123,251692843958.10086
124,260155992847.28436
125,296663878178.5048
126,266525023467.78598
127,238137597366.61053
128,264105115910.87274
129,295173959246.7011
130,266785435096.9126
131,277381081687.35205
132,273111893239.03476
133,262526809217.31317
134,247989146125.13
135,272948312313.80478
136,246656671744.40216
137,276853138401.3972
138,298203426660.1417
139,284526518991.45374
140,292648967973.25867
141,281649238665.90717
142,298066019661.7418
143,311311023792.7874
144,295706550472.03455
145,286208164868.8627
146,281363433178.14044
147,270641081927.96185
148,291816289724.7596
149,287848165236.6306
150,302811461609.13635
151,318351328360.16504
152,287635847597.91736
153,284715678737.6643
154,304615412111.23584
155,288052721299.5616
156,288261281056.08264
157,306024047766.41846
158,310423440468.7771
159,346873493262.3517
160,293823837889.8494
161,308059631210.6471
162,284645868441.72327
163,310514962687.94214
164,314155051449.56555
165,313369977038.0335
166,344263966500.63385
167,344228309991.44293
168,314139246562.8058
169,340371996804.7846
170,319107174251.33936
171,309567525419.49713
