,0
0,1718946995.0492566
1,1674366851.255274
2,1735583560.5198007
3,1683637915.7831945
4,1677443365.1606467
5,1572392116.088369
6,1651781585.0162926
7,1650479532.3523588
8,1599146711.3906062
9,1671481622.3329787
10,6766903577.296838
11,167394794171.3088
12,175826827894.5733
13,60676266848.91935
14,65014164041.960205
15,79764800983.28348
16,82749257481.98032
17,110185497470.28838
18,152426451771.3516
19,168951398793.18988
20,194450996989.94733
21,218609724657.286
22,224516072890.2856
23,234248556613.0926
24,220433713845.3259
25,235740206945.47964
26,236503834652.4499
27,214618569235.80466
28,224567427317.3257
29,221920102782.48294
30,247121997995.08337
31,226914494190.13434
32,217402949639.56995
33,224749692470.63046
34,221487645616.13995
35,229039327312.19513
36,222733214790.8932
37,231822572050.09143
38,228489379889.35254
39,235692262560.79318
40,222884004599.64597
41,225041518855.93948
42,220376637415.7592
43,241296838520.76303
44,226227407023.60773
45,232084093247.43195
46,231513920828.26514
47,242602934570.98358
48,251329493811.4772
49,237018666853.2242
50,244365015374.81366
51,238716694733.10623
52,236183740136.4988
53,227548237069.90616
54,244240339252.29932
55,249915619924.04343
56,238127048068.5894
57,248754531398.8226
58,271045631950.7413
59,251023260988.51447
60,269709385146.80176
61,262964498663.2372
62,243461473145.70203
63,263204275767.26898
64,265577013646.7015
65,248439659236.185
66,257645340745.5743
67,255608215211.92017
68,277608416854.59717
69,288354326153.03436
70,288808864647.94635
71,298231664791.23816
72,277281582327.0678
73,275284015831.7332
74,275990113376.29266
75,238242573129.8064
76,278466097730.345
77,273528821118.1234
78,298046033136.5737
79,263109759922.74728
80,291022533963.8968
81,276218239786.67755
82,308473646461.08606
83,304476713524.7118
84,284518604787.2532
85,321456244990.6224
86,326214244806.8953
87,312016456489.14465
88,347816806811.9664
89,331893141960.15234
90,308861747250.5969
91,306066024907.7354
92,345123294979.8566
93,381854929099.514
94,371571046388.381
95,301394733314.775
96,331531796750.3971
97,396857656424.96625
98,317282586298.596
99,317627546172.7491
100,355330625172.8384
101,325620250038.72614
102,319398968211.50415
103,308038555829.7867
104,307680267029.4559
105,380739123552.6041
106,333234636432.3995
107,335448080571.80664
108,278992719852.39813
109,328805777313.6618
110,340073275827.7844
111,301824987764.5553
112,328547944258.92645
113,330747096009.0894
114,362490436978.23676
115,364241655322.3055
116,314237502534.4729
117,300145338912.86285
118,389126698482.19543
119,444696497005.8456
120,340626798581.00806
121,343246971584.0469
122,334655243898.2318
123,381252480009.74164
124,314617105914.89526
125,332386006293.5006
126,347673848655.4556
127,393006866007.5333
128,349657210213.8626
129,316772325264.2953
130,324011496271.17957
131,392876131514.96405
132,343633371636.8366
133,370392245461.3286
134,319530163962.2054
135,323353492302.0738
136,333296234519.53485
137,318404827064.2586
138,345752146326.0692
139,364759444405.51074
140,415313630054.58246
141,383998717175.5759
142,396622545892.9913
143,334040501692.37225
144,328454735600.0404
145,352413313154.83777
146,354128128310.6344
147,353645450703.3165
148,367217342372.2989
149,335951117167.9917
150,429687749445.82056
151,334098409536.4425
152,388746353771.67084
153,317965811530.08453
154,318203748341.4372
155,297343472777.78925
156,409429673048.25366
157,398767104576.0556
158,364313580435.82245
159,345109003825.3746
160,365519828674.82623
161,297166025772.4152
162,320342767241.5136
163,304636431864.5839
164,394805678539.527
165,379004881574.85925
166,396851071519.0368
167,306456987066.2073
168,262851033282.77524
169,317080784489.5033
170,313396399987.56866
171,328308794418.44037
172,383923344217.58136
173,336972449499.3861
174,383578897696.3301
175,313145255356.0129
176,343707071694.6511
177,334030380547.7673
178,315862998301.25134
179,359941472227.98956
180,322580853555.0878
181,374138349904.6397
182,393875684021.64
183,409694895809.7515
184,364011190194.579
185,345497948404.918
186,348839940179.9419
187,390300810243.09296
188,392450653722.7566
189,286273973354.635
190,277310094499.82104
191,292653015458.7651
192,332922036774.82947
193,328999550639.60114
194,365884584491.76074
195,369148941461.62006
196,417568268809.76276
197,309965534631.29474
198,331322087819.7159
199,331704692106.5173
200,352423329300.9219
201,399474584422.7859
202,274331601982.25806
203,323407626942.29724
204,318497624862.5257
205,332317058379.8018
206,299994792804.4912
207,313915740062.1829
208,360432403227.59454
209,342768801681.10315
210,381893186159.8291
211,331322218728.7807
212,329795422473.115
213,367654299578.2231
214,311645641032.1576
215,333873737274.34125
216,397190025267.026
217,391739256965.275
218,351690738831.86884
219,389437822235.3389
220,369171089407.5788
221,318593866416.9394
222,359939463864.6898
223,344363169561.888
224,341918711845.1295
225,366586049446.5005
226,370132881942.8636
227,406634100746.7252
228,321232859692.74365
229,311711809595.32355
230,395283014609.3827
231,335389060017.9775
232,373662765944.7417
233,346747022356.68506
234,363876980162.82495
235,375544417113.93884
236,392539372697.4675
237,364137184915.04
238,363361216301.29205
239,323384946346.8335
240,312114482084.5703
241,383257471109.7
242,369882381915.1635
243,315420783824.55444
244,365702513535.0952
245,379235365986.43604
246,337753730549.1508
247,362469765258.51697
248,374655050979.13525
249,353636809980.1119
250,371328863798.5205
251,334555679307.3806
252,347843023399.87164
253,333617426168.8704
254,356586237982.93634
255,346151358319.2491
256,365917921652.2426
257,389063702759.3109
258,407787766041.26996
259,328017382377.59705
260,366450442643.63214
261,316851562306.05725
262,382673184749.62286
263,334358035734.06586
264,355789552795.39764
265,374024280122.6415
266,323971473690.5035
267,373170317504.32166
268,305090452751.8537
269,342271456365.9961
270,308777206733.6589
271,339626821269.7364
272,326324034061.96765
273,356049144476.9523
274,389144360432.35583
275,350629027528.9859
276,318817642887.0309
277,355584563566.34314
278,370909768835.80054
279,364355490615.919
280,347506466191.7191
281,339193912260.0041
282,319652032502.1304
283,301980898591.84155
284,358085695676.9503
285,340845080831.1055
286,338472343088.96466
287,351869998267.4826
288,364360842426.08704
289,328606491669.7346
290,317557716997.27234
291,392662363950.94434
292,359156321770.4397
293,333247037352.80927
294,343629323673.5482
295,324006645862.9048
296,305797238428.8212
297,347037524393.0266
298,359566417101.80676
299,311311993295.62085
300,329685163912.4393
301,357131735955.7505
302,350623385148.429
303,357078808602.0849
304,391747544283.54645
305,355668189968.54553
306,348850102221.9793
307,335452800035.6212
308,314845047969.48676
309,321340592157.42554
310,310475890139.36285
311,334681386641.5908
312,314347801649.24396
313,307804840340.0465
314,321577598844.86896
315,303549590205.21716
316,368743066181.73444
317,349346555687.3726
318,327099185647.97955
319,340008730098.39136
320,381731418374.51105
321,395310917066.66205
322,392715250791.7374
323,403927202685.35547
324,350446852851.23724
325,389648604010.70184
326,347007245889.9205
327,371894802820.8174
328,336934852904.1457
329,344377476197.0374
330,344342822566.8792
331,399126023809.3966
332,300506812414.648
333,357270100206.76514
334,326276393249.7711
335,275866454689.5567
336,287243109451.96063
337,328007636025.02344
338,339702926317.17633
339,398623554108.87
340,296760194290.7718
341,289464207846.42706
342,285228948388.781
343,336225673875.1413
344,308553167458.81384
345,379068202364.92145
346,338595877200.8451
347,326595670495.3127
348,322430608573.0271
349,334719032489.3027
350,297880439625.4247
351,341013078180.82605
352,310156973249.5182
353,302988780702.27374
354,322130584822.0523
355,329507826273.22644
356,305796218384.80023
357,329733909163.6363
358,366284273389.4522
359,357820125157.5232
360,378177974927.26807
361,329275407671.43866
362,409929927096.65955
363,348678928481.8019
364,371589032247.09094
365,372401341543.63995
366,326563200793.9352
367,328337578541.9633
368,342637348306.79865
369,374718057912.2953
370,379707263640.1657
371,370706777821.996
372,319222994635.39606
373,344330692746.6473
374,345505260064.36707
375,354338532625.29175
376,343176033792.0769
377,302483666044.42285
378,257841985828.2386
379,331007749330.6128
380,316807402000.4916
381,351160662383.97034
382,356252381982.8381
383,306290849071.8934
384,332768740551.5419
385,315345131812.18085
386,291422805111.2008
387,272961147533.30743
388,317237765920.4943
389,316606386229.1568
390,349291499116.216
391,296777819742.9436
392,302111216857.15533
393,300055480138.1789
394,326716629541.03186
395,343192842488.9467
396,311167189093.49286
397,253676035134.83136
398,314943028806.37054
399,340577483162.5621
400,306189410526.6414
401,341768485426.5302
402,310017517660.9456
403,394631202229.3308
404,293746668280.5516
405,347773310967.20154
406,271541222495.96533
407,353560242123.6932
408,340557014984.9144
409,330617644592.2058
410,323365791825.09454
411,312165184342.2397
412,368123219564.0003
413,277934433638.4941
414,320749248475.82916
415,283782428255.22974
416,322825604925.5129
417,324749533870.3995
418,300692352532.86475
419,307175761420.5169
420,296979911390.3175
421,357586466324.696
422,337416359804.0404
423,315853356412.5005
424,328292413332.815
425,355493105951.7514
426,345094375483.87213
427,291422609835.1707
428,384737761393.4412
429,337273150395.5396
430,346269259370.73096
431,309145397342.3855
432,307179647057.4978
433,325138791504.3615
434,367663230221.28186
435,369031750730.3605
436,382501290219.5946
437,318766062349.5357
438,327415711380.08997
439,320027596463.86127
440,289661320756.0849
441,304296063787.646
442,343329447900.0273
443,363817675132.2332
444,358149964756.9564
445,407393619094.7242
446,371601665882.273
447,337714286241.35767
448,383905876442.26245
449,391210100466.46216
450,383190898071.7317
451,351878604255.21295
452,433163906108.52783
453,303010494825.82635
454,377809719184.34534
455,346080613421.74493
456,334214404583.0954
457,334126309613.1151
458,324394240094.0607
459,338339328795.04724
460,315853648845.4589
461,340438440348.4366
462,376330218033.3587
463,341650535539.8202
464,373763321868.8347
465,400356408413.23615
466,404218128178.7323
467,360497833562.3766
468,330532676457.8666
469,345549421787.63214
470,297957358786.85443
471,375465575655.2311
472,293511274000.97565
473,319813873932.82776
474,381659431539.55286
475,339754254113.67755
476,304312236147.28973
477,295592531270.3311
478,363984260047.5559
479,353003689883.7206
480,353276282877.812
481,386888098488.1221
482,294287615407.1051
