,0
0,1619685894.2924678
1,1582449277.2564743
2,1623589529.2763317
3,1588718338.429515
4,1620191071.5035322
5,1709382717.1799662
6,1674874988.568395
7,1634535826.3345933
8,1602413255.0056605
9,1629828854.1800191
10,24589230033.27541
11,66283289990.06242
12,40014502118.00231
13,34127758354.622467
14,32277574945.17298
15,24296066906.46616
16,27456685975.55629
17,25635469218.550766
18,19711288616.0651
19,23442882185.413456
20,20890743096.251614
21,22261605907.76993
22,23156864077.3217
23,28691073067.80775
24,27062207075.863213
25,29086961091.095257
26,32483388250.45898
27,27347362029.89573
28,32256855335.39153
29,34633057891.88188
30,37619822614.54014
31,32906399279.695457
32,30025101900.680607
33,31405662770.230797
34,37569436829.4172
35,37819345720.20768
36,34671992661.72233
37,39239476883.61058
38,37212588216.59139
39,33939091314.08576
40,40371436027.28902
41,44024985622.49882
42,44864850463.13119
43,39521524485.68678
44,45452088839.20203
45,51346875371.69975
46,45473402132.12397
47,43742404551.9662
48,55685639500.29603
49,57507436522.95351
50,62071374292.57991
51,52185611916.6837
52,59764062381.98307
53,65015923935.54219
54,67509522135.21991
55,69768097895.63002
56,69941223485.98734
57,70977651354.77257
58,58799383080.671
59,62668736080.94098
60,64114814678.75284
61,66323728233.360245
62,75855661377.46582
63,81774910977.25407
64,76392946516.49545
65,81970157466.90163
66,75526171615.40994
67,70211456034.15958
68,65009304923.33285
69,67604363634.968605
70,79080934464.02951
71,71255522524.13289
72,68158106542.30525
73,74988157895.58945
74,79850457369.76668
75,73607816730.15192
76,77282999731.70741
77,73797450018.89075
78,73830030164.73212
79,75075470650.7122
80,71125126994.75838
81,69062844926.15935
82,58709808292.7901
83,81233950853.92905
84,98675581115.1455
85,92071954536.40407
86,90456968897.24625
87,93743754790.52666
88,108674307715.08261
89,93784162747.4292
90,86376068975.19022
91,79010610956.66595
92,85904181944.88588
93,94722389010.95975
94,98034491252.03719
95,89713729635.88763
96,86669460020.08298
97,86827559257.55922
98,109087947307.65851
99,124245793643.47095
100,124203910229.20671
101,104201391399.30688
102,123235107693.38045
103,115749141706.84503
104,106852917826.27582
105,120316017031.34816
106,124323650712.96355
107,123592800192.94179
108,111910119259.03073
109,126531051482.46628
110,126662622608.88188
111,122290358741.8552
112,125915501223.5192
113,113162421434.88379
114,123166252198.94833
115,119568804581.45284
116,138012437479.39905
117,151129841178.3472
118,122581126089.79012
119,146575969361.12787
120,127743283391.38155
121,120549128609.4021
122,115172331052.23618
123,114259265395.59734
124,112764128502.11145
125,112370854936.39742
126,117049149377.32329
127,137960953567.63504
128,155881796398.52505
129,117322248317.33112
130,110006594479.8544
131,135710576136.76106
132,123346926257.37276
133,126734707778.52919
134,114397191553.04129
135,149113765672.52673
136,152954521739.75912
137,132966026192.59157
138,121850328936.95963
139,130616948963.4253
140,136071857444.1054
141,151764446354.8808
142,131652488703.72331
143,126122222494.67776
144,166579538453.1886
145,177883952512.664
146,157261343019.03992
147,151204696674.30096
148,144667520796.82755
149,162204056658.5576
150,159200893928.01324
151,169077356478.73428
152,145432725255.4736
153,136577634211.71236
154,167048243148.54315
155,157415549853.96362
156,150515510637.46683
157,148063940958.6229
158,158473484296.21075
159,140821191438.12338
160,152421516777.01663
161,148341876446.54413
162,133719419483.3547
163,154433304341.8164
164,129995979930.23924
165,142546613779.35306
166,149678902239.9672
167,142182086230.66098
168,142510707227.5547
169,156863792896.6402
170,141231108556.6284
171,133364860379.84756
172,143675456747.51694
173,139904488131.54
174,165770656576.09756
175,166163651476.21408
176,148565347040.6041
177,155394457604.88202
178,169738700368.50122
179,160823596336.19284
180,175353371790.5945
181,164343401785.43906
182,162702477832.6983
183,145110033410.72302
184,164136355112.00006
185,166611153671.1156
186,160282054117.16245
187,140669020146.04315
188,154250451260.89777
189,150150915786.96313
190,158320991430.29025
191,165895112823.09595
192,167774282869.43823
193,155605411404.52924
194,161142287753.7072
195,176723049286.07797
196,171609731086.44888
197,155791729882.58972
198,175988092227.06274
199,156156742769.01627
200,151923885742.54263
201,181238611465.51465
202,174113175236.63354
203,174104049879.53217
204,168408529381.07666
205,172684115306.1258
206,176903759725.53964
207,194244582049.0484
208,177944876737.47855
209,183055982274.58752
210,167799603819.0452
211,182563878760.1298
212,208827441697.16025
213,184534077618.04825
214,178240893163.50684
215,191075735118.99478
216,180104112512.26016
217,191261214368.7923
218,195964427017.0108
219,188445369045.6678
220,187208921365.1612
221,198437731094.53436
222,186345317923.7832
223,193956235815.06174
224,181457397405.4297
225,213633263123.4774
226,205684157394.22266
227,198323131541.4812
228,193419520517.032
229,206628248382.18753
230,201328045196.42346
231,213584183793.1159
232,236091001045.36917
233,223234564311.94278
234,213751903801.7752
235,214422597010.6265
236,216477449536.66418
237,214516459942.38693
238,223180495775.4661
239,221976013380.2959
240,219259071437.46344
241,238082054911.405
242,225800266488.4255
243,221798535845.1918
244,242189720144.59653
245,240307180175.9999
246,236391490415.17166
247,223439066478.81604
248,216996299878.03506
249,232893006192.08624
250,230226577606.95825
251,226616654832.15186
252,218742540044.46426
253,225357772664.356
254,243828624082.52298
255,241707237436.64832
256,225482280493.4296
257,230086185431.5314
258,262309301866.11887
259,263207720216.78122
260,258626120637.7413
261,238496468542.75967
262,234239863986.26566
263,234680913471.33975
264,245486318879.49603
265,244983832694.57297
266,248485632570.6563
267,224442458736.6809
268,239508175766.28918
269,231917636428.06223
270,222475957628.2911
271,227745247749.79044
272,244270662675.84744
273,234462947006.525
274,268003237268.24146
275,253287699076.07492
276,238893047530.71378
277,232909930963.52206
278,236548890391.717
279,234187910594.50507
280,233271640673.08643
281,255476425853.62543
282,244430121148.01926
283,242775568418.20956
284,263224142814.32913
285,280349624354.6413
286,254660865062.37637
287,238212493269.14133
288,279584455934.8803
289,266196372783.35266
290,242020080513.78348
291,255997039090.14352
292,276168260450.4219
293,253427833034.34988
294,235599583114.4507
295,253272159683.3804
296,255613564846.4764
297,277557560771.78204
298,285956236780.2135
299,269260446712.03696
300,261086442601.52713
301,253561405406.6343
302,258022459763.11404
303,258025378937.5079
304,269769954162.4031
305,260207273142.6224
306,255376404365.72495
307,255346225055.58438
308,259211879431.65695
309,267483761844.0205
310,272006931135.1787
311,262629328503.6435
