,0
0,1595032630.3680768
1,1569652417.9950244
2,1645719371.6836696
3,1519606530.0434194
4,1556659073.383024
5,1562999075.5020578
6,1528121848.5123222
7,1511511478.7298996
8,1532895835.9040396
9,1495558871.0741403
10,18869371305.102345
11,242499689780.0118
12,257391751116.13623
13,186729468174.08527
14,164790198979.23538
15,165120244063.75095
16,199502543149.65775
17,212808339572.74567
18,187781193505.31793
19,176293048620.3205
20,168327945355.5134
21,171167763109.33646
22,227344328958.79126
23,197860686043.99118
24,199887411530.17972
25,199760750569.25473
26,171980906551.68692
27,182456313682.7439
28,182273358367.45007
29,211750115840.67096
30,189934198707.48514
31,185669452519.88474
32,219180551071.17245
33,217500875404.13495
34,237301031685.113
35,176764884203.05853
36,219238191199.73984
37,193075171265.63077
38,188606564907.10168
39,187048786684.28302
40,177673914887.40448
41,186654307408.95016
42,201344180264.38312
43,205142342620.50974
44,211566356542.78934
45,193454029837.71652
46,188824301913.4014
47,188327184437.36783
48,254957486311.85187
49,198920138602.89944
50,204852370540.03152
51,244889672350.28354
52,265142944140.0498
53,242287986425.91415
54,243309196030.75693
55,246139786568.82333
56,238087344120.9104
57,218629722188.47537
58,224869971566.5835
59,222397206762.80753
60,232855183193.1406
61,252151472486.95535
62,266032986586.53674
63,272475699089.39856
64,284943054051.3362
65,282888291965.7862
66,288828883430.7744
67,293156045951.9016
68,282236075139.4844
69,324524098419.7094
70,332176162906.1674
71,278675096150.38855
72,340196402473.5536
73,372818897384.1877
74,292005512862.5926
75,335934200634.7288
76,301724013388.1574
77,319855469115.78845
78,347456669147.0903
79,336729839324.02704
80,337171495366.4379
81,337702071471.33295
82,290633985873.69727
83,367099298527.1734
84,413296814881.5814
85,376569917917.66174
86,341611145438.93744
87,321140510366.74066
88,346931251419.1508
89,310421528131.01355
90,403331723506.61755
91,359744291182.68256
92,378682660949.26086
93,394029332980.23413
94,397283781715.8611
95,450406017373.96545
96,355697938607.75336
97,351605687080.05536
98,409271209969.03973
99,352029118391.3505
100,401775234356.9135
101,408355940650.0008
102,402770014472.3798
103,388509363185.7872
104,338236104087.4913
105,382448622135.0269
106,458630513381.1058
107,371148992965.667
108,447761696421.1816
109,382859001084.27234
110,444747404691.46893
111,366153606423.66943
112,386614210136.8196
113,329650074706.65625
114,439126018587.6646
115,426029327063.9051
116,379559924048.58734
117,357821379911.38336
118,364483920997.01013
119,477280094095.97986
120,362640130158.3058
121,422110002852.3538
122,428650301584.54297
123,410892278369.8293
124,429853139403.8715
125,388872983311.5803
126,310057226012.5552
127,375983938660.62726
128,400704712068.6122
129,455256564224.4766
130,405257131608.93256
131,340019749580.9628
132,392647079640.4214
133,347115652971.72833
134,432007867245.8824
135,444962092499.18085
136,369913774016.0914
137,435541965094.4945
138,415651888093.6105
139,497212479498.6282
140,404766773822.65796
141,359013168953.8443
142,343090202690.8143
143,312807398446.56494
144,444353142671.26807
145,408372580913.1359
146,383887782730.9569
147,383051740594.7927
148,375798032497.91425
149,425555644837.0042
150,406707071392.03894
151,378360469717.13
152,433318553367.09045
153,351939316195.50323
154,352739299218.91266
155,375075605674.6716
156,378145039206.6401
157,414034021126.2984
158,379037376115.5188
159,399024020485.58984
160,426243357654.63904
161,451296575818.6876
162,325336173214.26917
163,346745356551.0815
164,336929835983.3179
165,316625402133.60614
166,378323101092.90607
167,414084411487.72614
168,360663243098.542
169,410594343801.7094
170,353770848156.48517
171,395651837774.3527
172,358091538573.2717
173,417592618598.2424
174,420664302997.17926
175,452846962862.4746
176,388702246630.486
177,389043621733.5237
178,381678125143.03424
179,385809179290.42377
180,441621619756.00665
181,463603496705.7717
182,343859761050.20874
183,392890238657.03394
184,431672439358.85834
185,394875678686.1257
186,406062693117.9229
187,380236181569.32544
188,404414109333.6914
189,336626879704.6696
190,349010554411.6088
191,374062774137.1081
192,413681813948.3877
193,391871813386.37054
194,399344578688.98956
195,383817390223.75256
196,391913874598.4587
197,378861934949.2919
198,354183671615.53546
199,423939227263.57526
200,372785778897.15393
201,420145655271.8781
202,425292725535.8412
203,416654028187.3433
204,446563160717.3034
205,320961949517.2045
206,382137825280.0352
207,369628781436.99133
208,340003816251.1947
209,362097242020.9265
210,353968785537.91406
211,410120262498.3408
212,343615484103.13745
213,356916093836.25134
214,419786077445.2879
215,378547415130.4831
216,369346975969.28705
217,334374288627.5783
218,403327994494.4138
219,372016830468.4147
220,464366470451.7354
221,416790963808.4535
222,341013790804.56177
223,416961774895.51276
224,318643056082.3308
225,472840132043.8416
226,398443289434.8
227,369354173970.1957
228,469499182177.8468
229,396591855899.86334
230,434540947266.9148
231,354963484438.8639
232,401773196635.06555
233,355044487331.9671
234,328559682847.2962
235,434993154937.15906
236,374179767206.1897
237,345094330483.5264
238,481040167923.7477
239,418619541451.28033
240,411694102579.39923
241,357462593826.1631
242,396523474291.08453
243,410130307022.56506
244,377363877230.9319
245,353836479452.3353
246,424433642931.2181
247,503017886246.10645
248,390853786916.6041
249,453140054445.6941
250,451345676702.1866
251,417404143187.3399
252,363023826860.5835
253,323211427797.7234
254,378308417700.90454
255,390959997915.20514
256,418373698369.5528
257,413674812698.8171
258,401067002354.0548
259,511056220308.5539
260,423164086525.2775
261,538066341791.8633
262,419548581866.1887
263,397082674082.711
264,408727096842.05304
265,348568173251.1419
266,387266005591.1555
267,336143520148.2662
268,410230532952.12866
269,358727692314.86365
270,301656319208.6871
271,364852774261.63525
272,428783251557.10004
273,406049424391.1561
274,598194633465.6769
275,412990287879.3336
